session,driver_number,lap_number,lap_time,tire_compound,tire_age_at_start,track_temperature,air_temperature,wind_speed,humidity,pressure
Practice 3,22,14,178.117,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,24,20,158.405,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,14,145.76,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,77,22,146.711,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,18,20,114.912,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,11,16,190.233,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,20,12,141.065,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,27,14,141.418,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,63,16,92.134,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,40,15,149.997,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,55,19,138.196,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,16,21,160.357,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,15,93.21,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,77,23,93.54,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,22,15,160.695,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,1,17,257.675,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,24,21,150.885,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,63,17,124.273,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,11,17,92.784,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,31,16,489.037,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,20,13,93.142,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,27,15,92.896,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,16,124.56,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,55,20,92.583,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,77,24,151.89,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,40,16,93.357,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,16,22,112.862,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,23,13,654.715,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,1,18,92.378,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,10,17,353.263,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,11,18,143.532,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,24,22,93.637,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,22,16,92.945,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,20,14,116.996,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,44,16,432.778,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,27,16,107.716,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,63,18,163.091,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,18,21,297.171,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,55,21,125.541,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,40,17,104.793,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,4,15,571.521,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,81,16,432.928,HARD,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,17,98.931,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,2,14,481.741,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,1,19,127.178,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,31,17,151.47,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,16,23,93.633,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,24,23,130.393,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,77,25,129.562,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,22,17,128.363,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,10,18,119.431,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,23,14,136.327,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,11,19,135.47,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,27,17,121.686,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,20,15,111.444,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,18,22,127.109,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,44,17,141.832,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,40,18,134.894,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,4,16,128.81,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,55,22,130.241,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,18,124.039,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,16,24,151.9,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,63,19,144.133,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,81,17,146.438,HARD,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,2,15,133.763,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,1,20,141.624,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,31,18,118.555,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,24,24,146.748,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,77,26,124.864,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,10,19,137.945,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,22,18,138.494,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,20,16,136.189,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,27,18,146.689,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,23,15,226.024,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,18,23,,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,11,20,141.472,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,40,19,132.383,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,44,18,148.468,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,4,17,153.953,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,14,19,,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,55,23,140.456,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,63,20,157.336,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,81,18,150.884,HARD,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,16,25,139.091,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,31,19,137.978,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,2,16,148.785,SOFT,0,39.0,31.1,2.0,69.0,1007.5
Practice 3,1,21,144.538,MEDIUM,0,39.0,31.1,2.0,69.0,1007.5
